################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5320
# Center_2                            651.4720
# Comment                             Xenocs_Cell_Window - front_window_open_only
# DDummy                              0.6
# Date                                2025-10-19T04:21:13
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          9.04899e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.033144
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.429
# beamx_dial                          588.429
# beamz                               657.855
# beamz_dial                          657.855
# det0x                               -0.000396875
# det0x_dial                          6.36905
# det0xvd                             -0.0005
# det0xvd_dial                        -0.0005
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.2295
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7238
# waxsh                               137.085
# waxsh_dial                          -43.5335
# waxsth                              26.0607
# waxsth_dial                         -19.4068
# waxsz                               67.0407
# waxsz_dial                          -23.7962
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.25764e+08
# TransmittedFlux                     904899
# det                                 0
# mon                                 0
# pilai0                              3.25764e+08
# pilai1                              699680
# pilct0                              5.63368e+08
# pilct1                              699680
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251017__0_00311.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['SAXS_correted.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                352937.839                114.022449           
       0.001019                351665.081                69.6981942           
       0.001698                348162.293                49.0380065           
       0.002377                331492.073                42.7980082           
       0.003056                299427.148                34.3770515           
       0.003735                260780.002                28.2935886           
       0.004415                204568.658                25.0593928           
       0.005094                 152731.36                18.7519251           
       0.005773                101529.373                14.1548202           
       0.006452                60963.4686                10.5964867           
       0.007131                33064.1938                7.55599816           
       0.007810                 16251.589                5.21649744           
       0.008490                8399.81703                3.32428721           
       0.009169                 3235.7429                2.03911298           
       0.009848                1283.22108                1.23484668           
       0.010527                362.103411               0.659517658           
       0.011206                  123.9011               0.364605561           
       0.011885                50.7861255               0.220916549           
       0.012564                25.1142585               0.156031655           
       0.013244                17.2283056               0.122925313           
       0.013923                12.5813849                0.10675543           
       0.014602                9.58160958              0.0857519573           
       0.015281                7.53486266              0.0782482558           
       0.015960                6.12596535              0.0697889583           
       0.016639                 5.0103663              0.0590124242           
       0.017319                4.21510151              0.0532954137           
       0.017998                3.48584782              0.0470530542           
       0.018677                 2.9429802              0.0445328468           
       0.019356                2.63483509              0.0413867627           
       0.020035                2.14933752              0.0351731623           
       0.020714                1.84939759              0.0330601335           
       0.021394                1.68947368              0.0297471475           
       0.022073                1.45773692              0.0289667904           
       0.022752                1.24021841              0.0252488652           
       0.023431                1.12982341              0.0235573622           
       0.024110                1.02317067              0.0234289965           
       0.024789               0.907594667              0.0205724348           
       0.025469                0.83168462              0.0201669249           
       0.026148               0.698863917              0.0175069826           
       0.026827               0.666213176              0.0172304552           
       0.027506               0.623114173              0.0172288588           
       0.028185               0.554339604              0.0155612724           
       0.028864               0.508799875              0.0147063536           
       0.029544               0.484636681               0.014058613           
       0.030223               0.437248092              0.0137932585           
       0.030902               0.410224473              0.0138020272           
       0.031581                0.37121493              0.0123040892           
       0.032260               0.355612426              0.0125635116           
       0.032939               0.312349187              0.0117982464           
       0.033619               0.289028188              0.0117594808           
       0.034298               0.262537556              0.0108605818           
       0.034977               0.244865783              0.0104044688           
       0.035656                0.24056911              0.0108226545           
       0.036335               0.230851907              0.0103322646           
       0.037014               0.191309403             0.00991693919           
       0.037693               0.182932811             0.00943762235           
       0.038373               0.188923042              0.0100193958           
       0.039052                 0.1746725             0.00947599476           
       0.039731               0.147571259             0.00900815076           
       0.040410               0.161336963             0.00941895593           
       0.041089                0.13335388             0.00895012048           
       0.041768               0.138553573             0.00960485706           
       0.042448               0.125429461             0.00849740582           
       0.043127               0.129550236             0.00901988755           
       0.043806               0.115264642             0.00886808914           
       0.044485                0.10291748             0.00803949731           
       0.045164               0.123852368             0.00933779121           
       0.045843                 0.1213953             0.00853955269           
       0.046523               0.128472526             0.00903389033           
       0.047202               0.122684725             0.00926429353           
       0.047881               0.118154458             0.00900655904           
       0.048560               0.114832326             0.00902023468           
       0.049239               0.107525312              0.0082886104           
       0.049918              0.0983766869               0.008909156           
       0.050598               0.105649416              0.0086800004           
       0.051277              0.0863818135             0.00763031818           
       0.051956              0.0856401401             0.00843660394           
       0.052635              0.0739781909             0.00802428228           
       0.053314              0.0777852108             0.00778147475           
       0.053993              0.0739082595             0.00792745544           
       0.054673              0.0766273347             0.00777836519           
       0.055352               0.077773803             0.00829322911           
       0.056031              0.0964389815             0.00919823416           
       0.056710              0.0991693299             0.00932756514           
