# Q (nm^-1)    I_fit (cm^-1)
9.847868908433179969e-02 6.327770468388674630e+01
1.052703228142857217e-01 5.451338705159325571e+01
1.120619565442396298e-01 4.752451049133413363e+01
1.188535902741935518e-01 4.183215379518955501e+01
1.256452240041474600e-01 3.711086777809934034e+01
1.324368577341013820e-01 3.313405972036481728e+01
1.392284914640553040e-01 2.974034789782914601e+01
1.460201251940092260e-01 2.681230384642929110e+01
1.528117589239631480e-01 2.426271781370635949e+01
1.596033926539170422e-01 2.202554600471816215e+01
1.663950263838709920e-01 2.004983502182236421e+01
1.731866601138249140e-01 1.829557626352683286e+01
1.799782938437788360e-01 1.673083312149411483e+01
1.867699275737327580e-01 1.532972072078657710e+01
1.935615613036866800e-01 1.407096486825584236e+01
2.003531950336405743e-01 1.293685971514093680e+01
2.071448287635944963e-01 1.191250330558316861e+01
2.139364624935484183e-01 1.098522911266972280e+01
2.207280962235023125e-01 1.014417741215122781e+01
2.275197299534562345e-01 9.379967584493565269e+00
2.343113636834101565e-01 8.684444108815071672e+00
2.411029974133640785e-01 8.050476996280982789e+00
2.478946311433180005e-01 7.471802922986850781e+00
2.546862648732718948e-01 6.942897162030902791e+00
2.614778986032257890e-01 6.458869111502487215e+00
2.682695323331797388e-01 6.015376125011124842e+00
2.750611660631336330e-01 5.608551714780992015e+00
2.818527997930875828e-01 5.234945178498845664e+00
2.886444335230414215e-01 4.891470413025029274e+00
2.954360672529953713e-01 4.575362199042475986e+00
3.022277009829492656e-01 4.284138625326890271e+00
3.090193347129032153e-01 4.015568607889279384e+00
3.158109684428570541e-01 3.767643674824424860e+00
3.226026021728110038e-01 3.538553351507744082e+00
3.293942359027649536e-01 3.326663606543672991e+00
3.361858696327188478e-01 3.130497916442076090e+00
3.429775033626727976e-01 2.948720583514650606e+00
3.497691370926266918e-01 2.780122002126252045e+00
3.565607708225806416e-01 2.623605617003636592e+00
3.633524045525344803e-01 2.478176356596601071e+00
3.701440382824884301e-01 2.342930356582902718e+00
3.769356720124423243e-01 2.217045815066442049e+00
3.837273057423962741e-01 2.099774843012496728e+00
3.905189394723501684e-01 1.990436191890064377e+00
3.973105732023041181e-01 1.888408756036573877e+00
4.041022069322580124e-01 1.793125760458355700e+00
4.108938406622119621e-01 1.704069556048625644e+00
4.176854743921658564e-01 1.620766953873863603e+00
4.244771081221198061e-01 1.542785038512844986e+00
4.312687418520736449e-01 1.469727407642720918e+00
4.380603755820275946e-01 1.401230791326056657e+00
4.448520093119815444e-01 1.336962009903400750e+00
4.516436430419354386e-01 1.276615234154636180e+00
4.584352767718893884e-01 1.219909515556765411e+00
4.652269105018432827e-01 1.166586558117561401e+00
4.720185442317972324e-01 1.116408706472616474e+00
4.788101779617510712e-01 1.069157127756459325e+00
4.856018116917050209e-01 1.024630167246263657e+00
4.923934454216589152e-01 9.826418599722466229e-01
4.991850791516128649e-01 9.430205824286914673e-01
5.059767128815667592e-01 9.056078302355583531e-01
5.127683466115207089e-01 8.702571091201641851e-01
5.195599803414745477e-01 8.368329279354023154e-01
5.263516140714284974e-01 8.052098836260389580e-01
5.331432478013824472e-01 7.752718291159611530e-01
5.399348815313363970e-01 7.469111160325747623e-01
5.467265152612903467e-01 7.200279050237201606e-01
5.535181489912442965e-01 6.945295371695804354e-01
5.603097827211982462e-01 6.703299606577390879e-01
5.671014164511520850e-01 6.473492074831053156e-01
5.738930501811059237e-01 6.255129154641316802e-01
5.806846839110599845e-01 6.047518913397680329e-01
5.874763176410138232e-01 5.850017111343432941e-01
5.942679513709677730e-01 5.662023543556320426e-01
6.010595851009216117e-01 5.482978689297585140e-01
6.078512188308756725e-01 5.312360640796111033e-01
6.146428525608295113e-01 5.149682286250893970e-01
6.214344862907834610e-01 4.994488724270756408e-01
6.282261200207372998e-01 4.846354889156985202e-01
6.350177537506912495e-01 4.704883368397866916e-01
6.418093874806451993e-01 4.569702395509261938e-01
6.486010212105991490e-01 4.440464002942344779e-01
6.553926549405530988e-01 4.316842321208267386e-01
6.621842886705069375e-01 4.198532011655924379e-01
6.689759224004608873e-01 4.085246821498322300e-01
6.757675561304148371e-01 3.976718250728604742e-01
6.825591898603687868e-01 3.872694321510212756e-01
6.893508235903225145e-01 3.772938441477587390e-01
6.961424573202765753e-01 3.677228353153620954e-01
7.029340910502304141e-01 3.585355162386144046e-01
7.097257247801844748e-01 3.497122439335334509e-01
7.165173585101382026e-01 3.412345386114269963e-01
