cycle_number,half_cycle,time_s,current_mA,voltage_V,capacity_mAh
0,0,391637.2513360607,0.0,2.9657533,0.0
0,0,391638.25133531564,0.0,2.939642,0.0
0,0,391639.2513345706,0.0,2.9285505,0.0
0,0,391640.2513338255,0.0,2.9201314,0.0
0,0,391641.25133308046,0.0,2.9126291,0.0
0,0,391642.2513323354,0.0,2.9061956,0.0
0,0,391643.25133159035,0.0,2.900545,0.0
0,0,391644.2513308453,0.0,2.8953524,0.0
0,0,391645.25133010023,0.0,2.8903124,0.0
0,0,391646.2513293552,0.0,2.8857691,0.0
1,1,391647.2031286452,-0.112100005,2.8813019,0.0
1,1,391647.2035286445,-0.112100005,2.8758717,-1.2418827248944177e-08
1,1,391652.2037249189,-0.112100005,2.8166049,-0.00015571298377422825
1,1,391657.20392119326,-0.112100005,2.7873204,-0.0003114142235066328
1,1,391662.2041174676,-0.112100005,2.761873,-0.00046711547928758796
1,1,391667.204313742,-0.112100005,2.7375329,-0.0006228169527235959
1,1,391672.20451001637,-0.112100005,2.7140899,-0.0007785186769920919
1,1,391677.20470629074,-0.112100005,2.6913917,-0.0009342200346406964
1,1,391682.2049025651,-0.112100005,2.669056,-0.0010899219019744131
1,1,391687.2050988395,-0.112100005,2.647904,-0.0012456234588672718
1,1,391692.20529511385,-0.112100005,2.6281455,-0.001401325253383567
1,1,391697.2054913882,-0.112100005,2.609246,-0.0015570270845939717
1,1,391702.2056876626,-0.112100005,2.5937066,-0.001712728969614539
1,1,391707.20588393696,-0.112100005,2.5777662,-0.0018684304786138238
1,1,391712.2060802113,-0.112100005,2.5622458,-0.002024131672299571
1,1,391717.2062764857,-0.112100005,2.5474126,-0.002179833315389438
1,1,391722.20647276007,-0.112100005,2.5332475,-0.0023355346204696433
1,1,391727.20666903444,-0.112100005,2.519426,-0.002491236153773136
1,1,391732.2068653088,-0.112100005,2.5063112,-0.002646938128150172
1,1,391737.2070615832,-0.112100005,2.4936543,-0.0028026404305261875
1,1,391742.20725785755,-0.112100005,2.4810357,-0.002958342191191598
1,1,391747.2074541319,-0.112100005,2.469295,-0.0031140443754527312
1,1,391752.2076504063,-0.112100005,2.4579363,-0.003269746866100365
1,1,391757.20784668066,-0.112100005,2.4464822,-0.0034254494143538183
1,1,391762.208042955,-0.112100005,2.4357152,-0.0035811516321098643
1,1,391767.2082392294,-0.112100005,2.42512,-0.0037368538516345954
1,1,391772.20843550377,-0.112100005,2.414716,-0.0038925565438270573
1,1,391777.20863177814,-0.112100005,2.4047318,-0.004048259165777515
1,1,391782.2088280525,-0.112100005,2.3949194,-0.004203961680120479
1,1,391787.2090243269,-0.112100005,2.385374,-0.004359664422592356
1,1,391792.20922060125,-0.112100005,2.3762107,-0.004515366973704349
1,1,391797.2094168756,-0.112100005,2.366971,-0.004671069174416364
1,1,391802.20961315,-0.112100005,2.3583996,-0.004826771377709592
1,1,391807.20980942436,-0.112100005,2.3499234,-0.004982473874758102
1,1,391812.2100056987,-0.112100005,2.3415427,-0.005138176992166375
1,1,391817.2102019731,-0.112100005,2.333315,-0.005293879916768936
1,1,391822.21039824747,-0.112100005,2.3254879,-0.005449582590198766
1,1,391827.21059452184,-0.112100005,2.31789,-0.005605285323296572
1,1,391832.2107907962,-0.112100005,2.3105211,-0.005760987599388594
1,1,391837.21098707104,-0.112100005,2.3034005,-0.005916690099269152
1,1,391842.2111833459,-0.112100005,2.2964516,-0.006072392933549567
1,1,391847.2113796207,-0.112100005,2.2896745,-0.0062280957305406535
1,1,391852.21157589555,-0.112100005,2.2831457,-0.006383798473223216
1,1,391857.2117721704,-0.112100005,2.2767503,-0.006539501010399726
1,1,391862.2119684452,-0.112100005,2.270584,-0.006695202940777358
1,1,391867.21216472005,-0.112100005,2.2648761,-0.006850904752509875
1,1,391872.2123609949,-0.112100005,2.25913,-0.007006606665170441
