################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5200
# Center_2                            651.5500
# Comment                             Xenocs_Cell_Window - 20251028_20perc_iodine_1.23mg
# DDummy                              0.6
# Date                                2025-11-01T09:27:40
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          8.59824e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0326366
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.09537e+08
# TransmittedFlux                     859824
# det                                 0
# mon                                 0
# pilai0                              3.09537e+08
# pilai1                              784748
# pilct0                              5.35225e+08
# pilct1                              784748
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_20perc_iodine_1.23mg_0_00828.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251028_20perc_iodine_1.23mg_0_00012_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                372653.132                120.195695           
       0.001019                359867.017                72.3307881           
       0.001698                350127.693                50.4487539           
       0.002377                330899.378                43.8662219           
       0.003056                 307860.04                35.7597909           
       0.003735                253307.642                 28.606868           
       0.004415                 204461.21                25.7011012           
       0.005094                152507.168                19.2230436           
       0.005773                100554.122                14.4511935           
       0.006452                58462.0376                 10.557717           
       0.007131                32248.0518                7.59614423           
       0.007810                16281.7911                5.35645487           
       0.008490                8218.42778                3.37328687           
       0.009169                4017.61788                2.33095494           
       0.009848                 1242.6884                1.25339009           
       0.010527                481.304873               0.780037577           
       0.011206                121.085744               0.373409543           
       0.011885                55.4968176               0.234877282           
       0.012564                25.2362567               0.162611483           
       0.013244                17.0800286               0.125067081           
       0.013923                 12.367011               0.108138602           
       0.014602                9.48715446              0.0878418123           
       0.015281                7.37132364              0.0788197251           
       0.015960                6.07373561              0.0710339632           
       0.016639                4.95481704              0.0605851987           
       0.017319                4.01956852               0.053719903           
       0.017998                 3.4363934              0.0475191107           
       0.018677                2.86096308              0.0449074238           
       0.019356                2.48732567              0.0413739938           
       0.020035                2.10555535              0.0357139354           
       0.020714                1.85951196               0.033917677           
       0.021394                1.61157911              0.0298759883           
       0.022073                1.44808065               0.029464712           
       0.022752                1.21806276              0.0258508117           
       0.023431                1.10494057              0.0238993509           
       0.024110               0.990607133              0.0235925063           
       0.024789               0.876287681              0.0206075758           
       0.025469                0.82379041              0.0205903623           
       0.026148               0.730856287               0.018222441           
       0.026827               0.646103027              0.0174074961           
       0.027506               0.626515182              0.0173887853           
       0.028185               0.558255574              0.0156533139           
       0.028864                0.51063024              0.0148867307           
       0.029544               0.478966087              0.0139811924           
       0.030223               0.437151167              0.0135484933           
       0.030902               0.385801637              0.0128443888           
       0.031581               0.348750202              0.0116088893           
       0.032260               0.339438026               0.011647998           
       0.032939               0.304996625              0.0106461788           
       0.033619               0.293314729              0.0105937431           
       0.034298               0.288535499               0.010225094           
       0.034977               0.255850093              0.0094393196           
       0.035656               0.243823011             0.00945866382           
       0.036335               0.208322797             0.00847962143           
       0.037014               0.203407097             0.00840397268           
       0.037693               0.196551104             0.00794709584           
       0.038373               0.173818041             0.00754673787           
       0.039052               0.190887028             0.00794225667           
       0.039731               0.176326521             0.00745544742           
       0.040410               0.154477315             0.00693147567           
       0.041089               0.155135726             0.00683742381           
       0.041768               0.159806472             0.00697584533           
       0.042448               0.139091187             0.00645752958           
       0.043127               0.129456913             0.00608273668           
       0.043806               0.121782666             0.00594367859           
       0.044485               0.110479954             0.00554484669           
       0.045164               0.115668963             0.00578538833           
       0.045843                0.10989527             0.00540862808           
       0.046523               0.108192456             0.00538509298           
       0.047202               0.108794297              0.0054377847           
       0.047881               0.105830226             0.00525977222           
       0.048560               0.101938008             0.00520919608           
       0.049239              0.0944599484             0.00481481218           
       0.049918               0.100025052             0.00505147225           
       0.050598              0.0870509904             0.00464178767           
       0.051277              0.0860855897             0.00460132969           
       0.051956              0.0886846693             0.00464094674           
       0.052635              0.0795215273             0.00430139008           
       0.053314              0.0744027057             0.00428229158           
       0.053993              0.0813172247             0.00435406872           
       0.054673              0.0710954033             0.00398053323           
       0.055352              0.0680037495             0.00395020539           
       0.056031              0.0762200253             0.00409416578           
       0.056710              0.0687028974             0.00398228613           
       0.057389              0.0767973835             0.00406008649           
       0.058068              0.0737562479             0.00401990156           
