################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5200
# Center_2                            651.5500
# Comment                             Xenocs_Cell_Window - 20251028_20perc_iodine_1.23mg
# DDummy                              0.6
# Date                                2025-10-30T05:51:11
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          8.52576e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0325069
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.06928e+08
# TransmittedFlux                     852576
# det                                 0
# mon                                 0
# pilai0                              3.06928e+08
# pilai1                              768303
# pilct0                              5.31689e+08
# pilct1                              768303
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_20perc_iodine_1.23mg_0_00359.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251028_20perc_iodine_1.23mg_0_00012_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                 372576.07                120.693042           
       0.001019                359464.577                72.5969634           
       0.001698                349964.015                50.6508967           
       0.002377                331007.312                44.0594712           
       0.003056                307968.304                35.9177853           
       0.003735                253399.151                 28.733397           
       0.004415                205018.844                25.8452887           
       0.005094                153351.145                19.3579233           
       0.005773                101240.554                14.5619409           
       0.006452                59005.0253                10.6516227           
       0.007131                32388.7742                7.64499044           
       0.007810                16213.2617                5.36784279           
       0.008490                8118.27474                3.36689061           
       0.009169                3896.21268                2.30520271           
       0.009848                1201.30133                1.23756877           
       0.010527                462.576891               0.767954681           
       0.011206                116.675283               0.368100634           
       0.011885                54.2881753               0.233290914           
       0.012564                25.1234757               0.162935918           
       0.013244                16.8919753               0.124904235           
       0.013923                12.5671639               0.109472553           
       0.014602                 9.4491311              0.0880374529           
       0.015281                 7.5654141               0.080189362           
       0.015960                6.15193991              0.0717930455           
       0.016639                4.95855344               0.060865116           
       0.017319                4.17769498              0.0549986584           
       0.017998                3.43761994              0.0477291858           
       0.018677                3.01229777              0.0462752949           
       0.019356                2.54671021              0.0420425563           
       0.020035                2.15303422              0.0362675379           
       0.020714                1.84903621              0.0339654639           
       0.021394                 1.6290717              0.0301651018           
       0.022073                1.47459979              0.0298594043           
       0.022752                1.27323961              0.0265419393           
       0.023431                1.10142739              0.0239625378           
       0.024110                0.93563335              0.0230257842           
       0.024789               0.846579969              0.0203411629           
       0.025469                0.81686558              0.0205906071           
       0.026148                0.74617288              0.0184904942           
       0.026827               0.644706196              0.0174624257           
       0.027506               0.595868657              0.0170300902           
       0.028185               0.565952353              0.0158277042           
       0.028864               0.498153212              0.0147660986           
       0.029544               0.468909646              0.0138923157           
       0.030223               0.411995326              0.0132086842           
       0.030902               0.406558321              0.0132413135           
       0.031581               0.371344545              0.0120298494           
       0.032260               0.354411224              0.0119526171           
       0.032939               0.323956288              0.0110186319           
       0.033619               0.284533968              0.0104782267           
       0.034298               0.257913062             0.00970828645           
       0.034977               0.264388767             0.00963624051           
       0.035656               0.231056029              0.0092467545           
       0.036335               0.226867494             0.00888653452           
       0.037014               0.215804836             0.00869301437           
       0.037693               0.202770532              0.0081060888           
       0.038373                0.16942616             0.00748238935           
       0.039052                0.17504769             0.00763786769           
       0.039731               0.167609223             0.00729965068           
       0.040410               0.158755229             0.00705660156           
       0.041089               0.162590618             0.00702946964           
       0.041768                0.14403621             0.00665079764           
       0.042448               0.136231557             0.00641791097           
       0.043127               0.128275081             0.00608059072           
       0.043806               0.119557473             0.00591410691           
       0.044485               0.129657107             0.00603231753           
       0.045164               0.123749387             0.00600943791           
       0.045843               0.109278724             0.00541631179           
       0.046523              0.0962299103             0.00510020916           
       0.047202               0.107776568             0.00543524779           
       0.047881               0.107307716             0.00531882598           
       0.048560              0.0998510543             0.00517746524           
       0.049239               0.101479307             0.00501167009           
       0.049918              0.0911315759              0.0048421278           
       0.050598              0.0880636999              0.0046885128           
       0.051277              0.0932668409             0.00480972212           
       0.051956              0.0837262688              0.0045284691           
       0.052635              0.0705560931             0.00406885267           
       0.053314              0.0817416674             0.00450756343           
       0.053993               0.080129012             0.00434047371           
       0.054673              0.0730680492             0.00405249492           
       0.055352              0.0751133815             0.00416917509           
       0.056031              0.0784165043              0.0041703533           
       0.056710              0.0730516902              0.0041238067           
       0.057389              0.0611408164             0.00363802702           
