Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.100902921468904765e+02	1.256382812500000000e+03	1.206502365380384845e+03	4.988044711961515532e+01
1.102152921468904765e+02	1.262611328125000000e+03	1.201335257692917594e+03	6.127607043208240611e+01
1.103402921468904765e+02	1.237339843750000000e+03	1.196196098611478192e+03	4.114374513852180826e+01
1.104652921468904765e+02	1.234068359375000000e+03	1.191084705558172118e+03	4.298365381682788211e+01
1.105902921468904765e+02	1.229472656250000000e+03	1.186000897352513221e+03	4.347175889748677946e+01
1.107152921468904765e+02	1.219789062500000000e+03	1.180944494199168730e+03	3.884456830083126988e+01
1.108402921468904765e+02	1.222498046875000000e+03	1.175915317675819097e+03	4.658272919918090338e+01
1.109652921468904765e+02	1.225160156250000000e+03	1.170913190721142655e+03	5.424696552885734491e+01
1.110902921468904765e+02	1.218751953125000000e+03	1.165937937622915115e+03	5.281401550208488516e+01
1.112152921468904765e+02	1.214496093750000000e+03	1.160989384006228192e+03	5.350670974377180755e+01
1.113402921468904765e+02	1.212908203125000000e+03	1.156067356821824433e+03	5.684084630317556730e+01
1.114652921468904765e+02	1.210734375000000000e+03	1.151171684334546171e+03	5.956269066545382884e+01
1.115902921468904765e+02	1.202089843750000000e+03	1.146302196111896819e+03	5.578764763810318073e+01
1.117152921468904765e+02	1.187824218750000000e+03	1.141458723012716973e+03	4.636549573728302676e+01
1.118402921468904765e+02	1.190533203125000000e+03	1.136641097175969890e+03	5.389210594903011042e+01
1.119652921468904765e+02	1.189199218750000000e+03	1.131849152009635191e+03	5.735006674036480945e+01
1.120902921468904765e+02	1.186490234375000000e+03	1.127082722179715574e+03	5.940751219528442562e+01
1.122152921468904765e+02	1.177750000000000000e+03	1.122341643599346526e+03	5.540835640065347434e+01
1.123402921468904765e+02	1.179132812500000000e+03	1.117625753418013574e+03	6.150705908198642646e+01
1.124652921468904765e+02	1.176146484375000000e+03	1.112934890010876643e+03	6.321159436412335708e+01
