File	Integrated_Intensity	Mean_q(nm^-1)	Invariant	Capacity(mAh/g)	Potential(V)
97	1.9749e-02	2.0300	9.1797e-02	1765.0312	1.7299
98	1.9749e-02	2.0378	9.2333e-02	1783.4097	1.7234
99	1.9747e-02	2.0279	9.1466e-02	1801.7882	1.7164
100	1.9761e-02	2.0384	9.2393e-02	1820.1667	1.7089
101	1.9686e-02	2.0278	9.1190e-02	1838.5451	1.7010
102	1.9661e-02	2.0401	9.2260e-02	1856.9236	1.6924
103	1.9750e-02	2.0399	9.2546e-02	1875.3021	1.6829
104	1.9688e-02	2.0337	9.1758e-02	1893.6806	1.6726
105	1.9785e-02	2.0394	9.2688e-02	1912.0590	1.6612
106	1.9716e-02	2.0195	9.0659e-02	1930.4375	1.6483
107	1.9649e-02	2.0393	9.2157e-02	1948.8160	1.6337
108	1.9761e-02	2.0389	9.2555e-02	1967.1944	1.6168
109	1.9653e-02	2.0358	9.1842e-02	1985.5729	1.5969
110	1.9728e-02	2.0374	9.2153e-02	2003.9514	1.5727
111	1.9681e-02	2.0220	9.0625e-02	2022.5625	1.5425
112	1.9934e-02	2.0424	9.3687e-02	2040.9410	1.5050
113	1.9620e-02	2.0369	9.1648e-02	2059.3194	1.4579
114	1.9688e-02	2.0415	9.2286e-02	2077.6979	1.4007
115	1.9471e-02	2.0448	9.1570e-02	2096.0764	1.3368
116	1.9481e-02	2.0477	9.2056e-02	2114.4549	1.2726
117	1.9813e-02	2.0364	9.2648e-02	2132.8333	1.2106
118	1.9757e-02	2.0360	9.2278e-02	2151.1934	1.4681
119	1.9968e-02	2.0397	9.3703e-02	2169.5719	1.6532
120	1.9647e-02	2.0365	9.1920e-02	2187.9504	1.7910
121	1.9582e-02	2.0413	9.1826e-02	2206.3288	1.8797
122	1.9594e-02	2.0403	9.1947e-02	2224.9399	1.9386
123	1.9403e-02	2.0303	9.0046e-02	2243.0858	1.9797
124	1.9567e-02	2.0399	9.1746e-02	2261.4642	2.0115
125	1.9324e-02	2.0343	9.0043e-02	2279.8427	2.0363
126	1.9465e-02	2.0449	9.1615e-02	2298.2212	2.0561
127	1.9612e-02	2.0288	9.1077e-02	2316.5997	2.0723
128	1.9676e-02	2.0407	9.2312e-02	2334.9781	2.0857
129	1.9674e-02	2.0337	9.1697e-02	2353.3566	2.0970
130	1.9715e-02	2.0386	9.2270e-02	2371.7351	2.1070
131	1.9697e-02	2.0449	9.2842e-02	2390.3462	2.1158
132	1.9592e-02	2.0465	9.2371e-02	2408.7247	2.1238
133	1.9604e-02	2.0355	9.1524e-02	2427.1031	2.1310
134	1.9312e-02	2.0449	9.0898e-02	2445.4816	2.1378
135	1.9587e-02	2.0332	9.1263e-02	2463.8601	2.1441
136	1.9181e-02	2.0494	9.0689e-02	2482.2385	2.1500
137	1.9305e-02	2.0380	9.0271e-02	2500.6170	2.1557
138	1.9374e-02	2.0557	9.2118e-02	2518.9955	2.1611
139	1.9556e-02	2.0371	9.1189e-02	2537.3740	2.1663
140	1.9458e-02	2.0380	9.0912e-02	2555.7524	2.1715
141	1.9764e-02	2.0441	9.3037e-02	2573.8983	2.1765
142	1.9736e-02	2.0526	9.3487e-02	2592.5094	2.1814
143	1.9485e-02	2.0462	9.1915e-02	2610.8879	2.1862
144	1.9696e-02	2.0463	9.2906e-02	2629.2663	2.1910
145	1.9689e-02	2.0359	9.1807e-02	2647.4122	2.1957
146	1.9938e-02	2.0468	9.4191e-02	2666.0233	2.2004
147	1.9573e-02	2.0413	9.1717e-02	2684.4017	2.2051
148	1.9382e-02	2.0487	9.1524e-02	2702.7802	2.2096
149	1.9764e-02	2.0339	9.2230e-02	2721.1587	2.2142
150	1.9800e-02	2.0571	9.4189e-02	2739.5372	2.2188
151	1.9695e-02	2.0473	9.2805e-02	2757.9156	2.2237
152	1.9944e-02	2.0425	9.3612e-02	2776.2941	2.2281
153	1.9998e-02	2.0394	9.3372e-02	2794.6726	2.2327
154	2.0020e-02	2.0491	9.4646e-02	2813.0510	2.2372
155	2.0066e-02	2.0509	9.4636e-02	2831.4295	2.2417
156	1.9906e-02	2.0451	9.3698e-02	2849.8080	2.2462
157	1.9943e-02	2.0455	9.3667e-02	2868.4191	2.2508
158	2.0427e-02	2.0448	9.6097e-02	2886.7976	2.2553
159	2.0726e-02	2.0394	9.7272e-02	2905.1760	2.2600
160	2.0701e-02	2.0339	9.6524e-02	2923.7872	2.2646
161	2.0604e-02	2.0414	9.6693e-02	2942.1656	2.2691
162	2.0560e-02	2.0365	9.5829e-02	2960.5441	2.2737
163	2.0778e-02	2.0275	9.6352e-02	2978.9226	2.2780
164	2.0930e-02	2.0341	9.7498e-02	2997.3010	2.2825
165	2.1159e-02	2.0422	9.9291e-02	3015.6795	2.2867
166	2.1300e-02	2.0223	9.8005e-02	3034.0580	2.2905
167	2.1337e-02	2.0203	9.7986e-02	3052.6691	2.2947
168	2.1259e-02	2.0227	9.7947e-02	3071.0476	2.2984
169	2.1408e-02	2.0193	9.8243e-02	3089.4260	2.3022
170	2.1738e-02	2.0190	9.9914e-02	3108.0371	2.3063
