################################################################################
# EDF_DataBlockID                     0.Image.Psd
# EDF_BinarySize                      4366944
# EDF_HeaderSize                      2560
# ByteOrder                           LowByteFirst
# DataType                            FloatValue
# Dim_1                               1028
# Dim_2                               1062
# Image                               0
# HeaderID                            EH:000000:000000:000000
# Size                                4366944
# Center_1                            607.5200
# Center_2                            651.5500
# Comment                             Xenocs_Cell_Window - 20251028_20perc_iodine_1.23mg
# DDummy                              0.6
# Date                                2025-11-01T04:36:47
# Delta                               0
# Dummy                               -1.5
# ExposureTime                        360
# Gamma                               0
# Intensity1                          8.60146e-10
# PSize_1                             7.5e-05
# PSize_2                             7.5e-05
# Pressure                            0.0327425
# SampleDistance                      0.450002
# SampleEnvKind                       large
# SampleEnvPN                         ElectroChemical cell
# SampleEnvSN                         1141
# Thickness                           0
# Wavelength                          1.541891e-10
# Wavelength                          1.54189e-10
# aux                                 0
# aux_dial                            0.002375
# beamx                               588.434
# beamx_dial                          588.434
# beamz                               657.808
# beamz_dial                          657.808
# det0x                               0
# det0x_dial                          6.36945
# det0xvd                             0
# det0xvd_dial                        0
# det0y                               450.002
# det0y_dial                          481.635
# det0z                               0
# det0z_dial                          1.23302
# det0zvd                             0
# det0zvd_dial                        0
# mag                                 1.818
# mag_dial                            1.818
# om                                  0.2499
# om_dial                             -0.610199
# phi                                 -0.0120535
# phi_dial                            0
# ry                                  0.599993
# ry_dial                             0.599993
# s1bot                               0.8
# s1bot_dial                          -1.66094
# s1hl                                0.8
# s1hl_dial                           -0.608437
# s1hr                                0.8
# s1hr_dial                           0.970938
# s1top                               0.8
# s1top_dial                          -0.461562
# s2bot                               0.45
# s2bot_dial                          1.36109
# s2hl                                0.45
# s2hl_dial                           -0.83375
# s2hr                                0.45
# s2hr_dial                           -0.118594
# s2top                               0.45
# s2top_dial                          1.44734
# w2theta                             32
# w2theta_dial                        32
# waxsch                              19.2605
# waxsch_dial                         -32.7355
# waxsh                               137.085
# waxsh_dial                          -43.5338
# waxsth                              26.0607
# waxsth_dial                         -19.4086
# waxsz                               67.0407
# waxsz_dial                          -23.7954
# wind                                65.9854
# wind_dial                           66.0041
# wpsi                                124
# wpsi_dial                           124
# wstod                               115
# wstod_dial                          115
# x                                   0
# x_dial                              1.00969
# z                                   0
# z_dial                              13.3172
# CountCutoff                         15302352
# DetectorModel                       Dectris EIGER2 Si 1M, S/N E-02-0362
# ThresholdSetting                    4023.88989258
# Saturation                          0
# FlatField                           Corrected
# BackgroundReductionExtra            0.02
# BackgroundCorrectionConstant        0.0026712
# Detector                            0
# Monitor                             0
# Pil_Roi0                            0
# SumForIntensity1                    3.09652e+08
# TransmittedFlux                     860146
# det                                 0
# mon                                 0
# pilai0                              3.09652e+08
# pilai1                              789774
# pilct0                              5.34784e+08
# pilct1                              789774
# pilroi0                             0
# pilroi1                             0
# sec                                 1
# title                               20251028_20perc_iodine_1.23mg_0_00784.edf
# usaxs0                              0
# Operation                           Azimuthal average I(q)
# Error_model                         ErrorModel.poisson
# Geometrical_correction              True
# Transmission_correction             True
# Thickness_correction                False
# Binning mode                        Uniform
# Binning factor                      1.0
# Psi                                 0.0
# Omega                               0.2499
# MaskInvalidPixels                   True
# DetectorEdge                        3
# MaskFiles                           ['20251028_20perc_iodine_1.23mg_0_00012_mask.edf']
################################################################################
    q(A⁻¹)                Intensity(a.u.)            Sigma_I(a.u.)            
       0.000340                372068.931                120.078962           
       0.001019                359809.009                72.3114194           
       0.001698                350292.887                50.4512076           
       0.002377                331128.651                43.8732019           
       0.003056                307544.476                35.7347683           
       0.003735                253372.472                28.6051727           
       0.004415                204570.325                25.7031458           
       0.005094                 152161.18                19.1976315           
       0.005773                100024.531                  14.41039           
       0.006452                 57977.772                10.5119309           
       0.007131                32151.8502                7.58338561           
       0.007810                16269.8412                5.35348652           
       0.008490                8246.50734                 3.3784121           
       0.009169                4041.51811                2.33744028           
       0.009848                1255.53144                1.25961442           
       0.010527                489.001537               0.786102545           
       0.011206                121.905945               0.374601957           
       0.011885                55.1948358               0.234193528           
       0.012564                24.9525267               0.161664514           
       0.013244                16.7257849               0.123740157           
       0.013923                12.0380089               0.106670517           
       0.014602                9.18534326              0.0864171008           
       0.015281                7.40654043               0.078992993           
       0.015960                6.06780253              0.0709859695           
       0.016639                4.92642929              0.0604000845           
       0.017319                4.03042558              0.0537823346           
       0.017998                3.32833418              0.0467572567           
       0.018677                2.90195132              0.0452195015           
       0.019356                2.50399826              0.0415046567           
       0.020035                2.06809969              0.0353882272           
       0.020714                1.83686486              0.0337041912           
       0.021394                1.58773479              0.0296485966           
       0.022073                1.43734192              0.0293497608           
       0.022752                 1.2324109              0.0259977528           
       0.023431                1.07493549              0.0235682068           
       0.024110                1.05709483              0.0243668295           
       0.024789               0.859617605              0.0204067995           
       0.025469               0.793385116              0.0202030222           
       0.026148               0.728723562              0.0181924278           
       0.026827               0.653164662              0.0174990896           
       0.027506               0.603955412              0.0170696485           
       0.028185               0.560462853               0.015681293           
       0.028864               0.519320125              0.0150100569           
       0.029544               0.428223337              0.0132173896           
       0.030223               0.462334994              0.0139306782           
       0.030902               0.379153637              0.0127308593           
       0.031581               0.379700812              0.0121108017           
       0.032260               0.338237923              0.0116252121           
       0.032939               0.325203424              0.0109911336           
       0.033619               0.290460055               0.010540092           
       0.034298               0.257152358             0.00965120706           
       0.034977               0.248176362             0.00929494453           
       0.035656               0.234034182             0.00926511441           
       0.036335               0.219910533              0.0087106342           
       0.037014                0.19664852             0.00826162765           
       0.037693               0.200719595             0.00802942207           
       0.038373                0.18562485             0.00779737806           
       0.039052               0.177435019             0.00765586159           
       0.039731               0.157056942             0.00703496846           
       0.040410               0.153572392             0.00690984992           
       0.041089               0.153034998             0.00678970124           
       0.041768               0.141433573             0.00656137127           
       0.042448               0.132875346             0.00631040882           
       0.043127               0.113678168             0.00569893392           
       0.043806               0.120016794             0.00589932445           
       0.044485               0.130394509             0.00602276817           
       0.045164               0.113111795              0.0057200093           
       0.045843               0.102991706             0.00523500908           
       0.046523               0.102020519             0.00522825998           
       0.047202              0.0984345686             0.00517143962           
       0.047881              0.0947542068             0.00497599598           
       0.048560               0.102202737             0.00521497934           
       0.049239              0.0929103787             0.00477426266           
       0.049918              0.0842158175             0.00463424624           
       0.050598              0.0868214509             0.00463479603           
       0.051277              0.0808092177             0.00445725282           
       0.051956              0.0758898734             0.00429232816           
       0.052635              0.0752410045              0.0041832369           
       0.053314              0.0780908558             0.00438632348           
       0.053993              0.0741120133             0.00415591835           
       0.054673              0.0703788252             0.00395968095           
       0.055352              0.0730707096             0.00409396009           
       0.056031              0.0760093921             0.00408773943           
       0.056710              0.0674600365             0.00394536253           
       0.057389              0.0709854186             0.00390270156           
       0.058068               0.067439588             0.00384319268           
