	0	1	2	3	4	5	6	7	8	9	10
961	49.0	1.0	960.00037574835	-2.078465289539761e-08	-2.078465289539761e-08	-0.1875	2.82586407661438	12.0	-2.078465289539761e-08	0.0	-0.0005286114173941314
962	17.0	1.0	965.0003756220394	-0.00026066038507554265	-0.0002606811697284381	-0.1875	2.6755266189575195	12.0	-0.00026068116972843803	0.0	-0.0005021307151764631
963	17.0	1.0	970.0003754957288	-0.0002606634314465854	-0.0005213446011750235	-0.1875	2.5942537784576416	12.0	-0.0005213446011750234	0.0	-0.00048688353854231536
964	17.0	1.0	975.0003753694182	-0.00026066925544705657	-0.00078201385662208	-0.1875	2.5497426986694336	12.0	-0.0007820138566220799	0.0	-0.00047854045988060534
965	17.0	1.0	980.0003752431076	-0.00026067389370418255	-0.0010426877503262625	-0.1875	2.5180580615997314	12.0	-0.0010426877503262625	0.0	-0.0004726022598333657
966	17.0	1.0	985.0003751167969	-0.000260676186396016	-0.0013033639367222786	-0.1875	2.4919278621673584	12.0	-0.0013033639367222786	0.0	-0.00046770210610702634
967	17.0	1.0	990.0003749904863	-0.00026068540641168754	-0.0015640493431339662	-0.1875	2.4687180519104004	12.0	-0.0015640493431339662	0.0	-0.00046336231753230095
968	17.0	1.0	995.0003748641757	-0.0002606887417460481	-0.0018247380848800143	-0.1875	2.4476840496063232	12.0	-0.0018247380848800143	0.0	-0.0004594202619045973
969	17.0	1.0	1000.0003747378651	-0.00026068222878211075	-0.002085420313662125	-0.1875	2.428539752960205	12.0	-0.002085420313662125	0.0	-0.00045581557787954807
970	17.0	1.0	1005.0003746115544	-0.0002606846168215076	-0.0023461049304836328	-0.1875	2.4105405807495117	12.0	-0.0023461049304836328	0.0	-0.00045244142529554665
971	17.0	1.0	1010.0003744852438	-0.0002606849457008971	-0.00260678987618453	-0.1875	2.393667697906494	12.0	-0.00260678987618453	0.0	-0.0004492750740610063
972	17.0	1.0	1015.0003743589332	-0.0002606836886919207	-0.0028674735648764505	-0.1875	2.377882719039917	12.0	-0.0028674735648764505	0.0	-0.0004463101795408875
973	17.0	1.0	1020.0003742326226	-0.00026068323963797754	-0.003128156804514428	-0.1875	2.3631093502044678	12.0	-0.003128156804514428	0.0	-0.00044353658449836075
974	17.0	1.0	1025.000374106312	-0.0002606903192864524	-0.0033888471238008805	-0.1875	2.3492329120635986	12.0	-0.0033888471238008805	0.0	-0.00044094407348893583
975	17.0	1.0	1030.0003739800013	-0.0002606857432284289	-0.003649532867029309	-0.1875	2.3363492488861084	12.0	-0.0036495328670293095	0.0	-0.00043851815280504525
976	17.0	1.0	1035.0003738536907	-0.000260688659010662	-0.003910221526039971	-0.1875	2.3242671489715576	12.0	-0.003910221526039971	0.0	-0.00043625530088320374
977	17.0	1.0	1040.00037372738	-0.0002606937916320231	-0.0041709153176719945	-0.1875	2.3131585121154785	12.0	-0.0041709153176719945	0.0	-0.0004341788007877767
978	17.0	1.0	1045.0003736010694	-0.0002606924745423926	-0.004431607792214387	-0.1875	2.3032522201538086	12.0	-0.004431607792214387	0.0	-0.0004323172033764422
979	17.0	1.0	1050.0003734747588	-0.0002606959839835763	-0.004692303776197964	-0.1875	2.2941668033599854	12.0	-0.004692303776197963	0.0	-0.00043061765609309077
980	17.0	1.0	1055.0003733484482	-0.0002606918332758877	-0.004952995609473851	-0.1875	2.2863409519195557	12.0	-0.004952995609473851	0.0	-0.00042914191726595163
981	17.0	1.0	1060.0003732221376	-0.0002606880537470182	-0.005213683663220869	-0.1875	2.279393434524536	12.0	-0.005213683663220869	0.0	-0.0004278316628187895
982	17.0	1.0	1065.000373095827	-0.0002606878227889538	-0.005474371486009823	-0.1875	2.2734572887420654	12.0	-0.005474371486009823	0.0	-0.0004267171025276184
983	17.0	1.0	1070.0003729695163	-0.0002606908661946654	-0.005735062352204489	-0.1875	2.2680556774139404	12.0	-0.005735062352204489	0.0	-0.00042570821824483573
984	17.0	1.0	1075.0003728432057	-0.0002606874279917942	-0.0059957497801962824	-0.1875	2.2634365558624268	12.0	-0.0059957497801962824	0.0	-0.00042483562720008194
985	17.0	1.0	1080.000372716895	-0.0002606946752725376	-0.0062564444554688205	-0.1875	2.2591991424560547	12.0	-0.00625644445546882	0.0	-0.0004240520647726953
986	17.0	1.0	1085.0003725905844	-0.000260697713336183	-0.006517142168805003	-0.1875	2.2554771900177	12.0	-0.006517142168805003	0.0	-0.00042335837497375906
987	17.0	1.0	1090.0003724642738	-0.00026069029214895433	-0.006777832460953957	-0.1875	2.2522706985473633	12.0	-0.006777832460953957	0.0	-0.0004227444587741047
988	17.0	1.0	1095.0003723379632	-0.00026069011548575426	-0.007038522576439712	-0.1875	2.2492167949676514	12.0	-0.007038522576439712	0.0	-0.00042217099689878523
989	17.0	1.0	1100.0003722116526	-0.0002606941913084851	-0.007299216767748197	-0.1875	2.2466208934783936	12.0	-0.007299216767748197	0.0	-0.0004216903471387923
990	17.0	1.0	1105.000372085342	-0.0002606925574955013	-0.007559909325243698	-0.1875	2.2442922592163086	12.0	-0.007559909325243698	0.0	-0.0004212506173644215
991	17.0	1.0	1110.0003719590313	-0.00026069834544095727	-0.007820607670684656	-0.1875	2.2420589923858643	12.0	-0.007820607670684656	0.0	-0.0004208408063277602
992	17.0	1.0	1115.0003718327207	-0.00026070028799275556	-0.008081307958677411	-0.1875	2.239997625350952	12.0	-0.008081307958677411	0.0	-0.0004204569850116968
993	17.0	1.0	1120.00037170641	-0.00026069955234891837	-0.00834200751102633	-0.1875	2.238241672515869	12.0	-0.00834200751102633	0.0	-0.00042012621997855604
994	17.0	1.0	1125.0003715800995	-0.0002606959856591291	-0.008602703496685458	-0.1875	2.236790895462036	12.0	-0.008602703496685458	0.0	-0.0004198481619823724
995	17.0	1.0	1130.0003714537888	-0.0002606920187191831	-0.008863395515404642	-0.1875	2.235149621963501	12.0	-0.00886339551540464	0.0	-0.0004195336950942874
996	17.0	1.0	1135.0003713274782	-0.00026069441315448947	-0.00912408992855913	-0.1875	2.233832597732544	12.0	-0.00912408992855913	0.0	-0.00041929035796783864
997	17.0	1.0	1140.0003712011676	-0.00026068613187058107	-0.009384776060429713	-0.1875	2.2326109409332275	12.0	-0.009384776060429713	0.0	-0.00041904771933332086
998	17.0	1.0	1145.000371074857	-0.0002606880320939753	-0.009645464092523688	-0.1875	2.2313129901885986	12.0	-0.009645464092523688	0.0	-0.0004188071470707655
999	17.0	1.0	1150.0003709485463	-0.00026068612957828575	-0.009906150222101973	-0.1875	2.2301297187805176	12.0	-0.009906150222101973	0.0	-0.0004185819998383522
1000	17.0	1.0	1155.0003708222357	-0.00026068574069109226	-0.010166835962793065	-0.1875	2.229175329208374	12.0	-0.010166835962793065	0.0	-0.0004184022545814514
1001	17.0	1.0	1160.000370695925	-0.0002606893797458874	-0.010427525342538952	-0.1875	2.228278160095215	12.0	-0.010427525342538952	0.0	-0.0004182396805845201
1002	17.0	1.0	1165.0003705696145	-0.00026068353039522963	-0.010688208872934183	-0.1875	2.227438449859619	12.0	-0.010688208872934181	0.0	-0.0004180727119091898
1003	17.0	1.0	1170.0003704433038	-0.0002606817822067274	-0.01094889065514091	-0.1875	2.226579427719116	12.0	-0.010948890655140908	0.0	-0.0004179086536169052
1004	17.0	1.0	1175.0003703169932	-0.0002606853245149056	-0.011209575979655816	-0.1875	2.225644111633301	12.0	-0.011209575979655814	0.0	-0.00041773877455852926
1005	17.0	1.0	1180.0003701906826	-0.0002606842027033369	-0.011470260182359152	-0.1875	2.2249951362609863	12.0	-0.011470260182359152	0.0	-0.0004176151705905795
1006	17.0	1.0	1185.000370064372	-0.00026068174407713944	-0.011730941926436292	-0.1875	2.2243080139160156	12.0	-0.01173094192643629	0.0	-0.00041748228250071406
1007	17.0	1.0	1190.0003699380613	-0.0002606832784753707	-0.011991625204911663	-0.1875	2.2235255241394043	12.0	-0.011991625204911661	0.0	-0.0004173378983978182
1008	17.0	1.0	1195.0003698117507	-0.00026068734575725264	-0.012252312550668915	-0.1875	2.223029136657715	12.0	-0.012252312550668915	0.0	-0.00041725122719071805
